<#f0f000>:PASSIVE:</>

<#f0f000>:EX ATTACKS!:</>

Summon (1/4 Bar)							^C
	"Watanabe summons a sword and it lasts for 8 seconds.
	 Meter charge is halved when a sword is out."

_! Two-Hit Combo				^B
	press b twice or hold b

_! Bajoneto					_C

_! Downslam					_D^C


Ground Slam (1/4 Bar)							_D^C
	"Watanabe slams his sword to the ground
	and summons a stationary sword from it.
	This summons a thunder after a while."

_! Swing					^B
	"Hold the button to delay the attack."

Summon: Air (1/2 Bar)							_AIR^C
	"Watanabe summons a sword and rides it. Hold up,
	down or C for Watanabe to abandon it, and make
	it attach to the wall.
	This summons a thunder after a while.""

_! Jumpoff					_U

_! Dropdown					_D

_! Neutral jump?? idk kid			^C

Summon: Air Slam (1/2 Bar)								_AIR_D^C
	"Watanabe summons a stationary sword in the air.
	This summons a thunder after a while."

_! Swing					^B
	"Hold the button to delay the attack."

Seed Throw (1/4 Bar)							_F^C
	"Watanabe throws a seed that will wrap around the
	 opponent. When this lands it will grow into a plant
	 that will wrap on contact. Holding your Charge key
	will make the seed miss."

_! Dash	(1/2 Bar)				_F_F
	


<#f0f000>:STAR STRIKES!:</>

"Ether Drive" (1 Bar)						_D_DF_F^A
	"Watanabe summons a ton of swords and shoots them at
	the opponent."

_! Ether Drive: Ride						^C
	"Watanabe rides one of the summoned swords."

"Mystic Nocturn" (1 Bar _AIR OK)					_D_DB_B^A
	"Watanabe slams his sword into the ground and summons 
	plants to protect him, this also summons a grounded 
	sword."


Seed spread (1 Bar, _AIR OK)    						_D_DF_F^B
	"Watanabe throws seeds around him, these have
	different properties than the normal seed."

"Storm Wolf" (1/2 Bar, _AIR OK)    						D_DB_B^B
	"sideswitches the opponent"

"Moonlit Serenade" (1 1/2 Bars)				_D_DF_F^C
	"Watanabe throws a summoned sword forward!
	If it connects, the opponent gets BLASTED
	TO DEATH. Summoned sword stays on whiff."
